Nome;Alg-Class;Alg-Class-Params;Tec-Desbal;Tec-Desbal-Params;Acuracia;Acuracia Balanceada;F1-Score;Macro F1-Score;AUC
CLF_0;AD;{'min_samples_leaf': 1, 'random_state': 42};-;-;0.9426629201154088;0.6342413329657454;0.26712070527464343;0.618587283750671;0.6342413329657454
CLF_1;AD;{'min_samples_leaf': 1, 'random_state': 42};undersampling;-;0.786930137289875;0.7778685069037609;0.19738109234915885;0.5367134973504213;0.7778685069037609
CLF_10;AD;{'min_samples_leaf': 3, 'random_state': 42};undersampling;-;0.8059935496780218;0.7921119075516346;0.22072696847504725;0.5543100482784806;0.8110633903825629
CLF_100;KNN;{'n_jobs': -1, 'n_neighbors': 3};undersampling;-;0.6210720917073129;0.6130845222505571;0.09510399018574038;0.4264798181588068;0.6392428315131464
CLF_101;KNN;{'n_jobs': -1, 'n_neighbors': 3};oversampling;-;0.9095206795429265;0.5270423530222621;0.0764608776844071;0.5143819252611006;0.5450439852380027
CLF_102;KNN;{'n_jobs': -1, 'n_neighbors': 3};smote;5;0.8504220249019434;0.571204712017828;0.10716382335118006;0.5125573821700264;0.5951362098655589
CLF_103;KNN;{'n_jobs': -1, 'n_neighbors': 3};smote;10;0.8357586228411968;0.5812042525329106;0.11129182086883087;0.5100972651984408;0.5997566152774557
CLF_104;KNN;{'n_jobs': -1, 'n_neighbors': 3};smote;15;0.8329711930083501;0.5775671996691709;0.10690112611578093;0.5071056109163796;0.6091424092569502
CLF_105;KNN;{'n_jobs': -1, 'n_neighbors': 3};adasyn;5;0.8489557492421195;0.5704471936958668;0.10584946577435453;0.5114610080840902;0.5913667992385081
CLF_106;KNN;{'n_jobs': -1, 'n_neighbors': 3};adasyn;10;0.8379582514851016;0.5867347853056724;0.11545591056233355;0.5128246090169232;0.6120736828447129
CLF_107;KNN;{'n_jobs': -1, 'n_neighbors': 3};adasyn;15;0.8356113498127083;0.5899161440025731;0.11429500576305637;0.5115269489732379;0.6060117675131631
CLF_108;KNN;{'n_jobs': -1, 'n_neighbors': 5};-;-;0.963924992953701;0.5068181818181818;0.03265821480107194;0.5071376013062464;0.5659527132584372
CLF_109;KNN;{'n_jobs': -1, 'n_neighbors': 5};undersampling;-;0.6163777504771043;0.5733111057504537;0.08086559353065595;0.417781907356458;0.6111264533821222
CLF_11;AD;{'min_samples_leaf': 3, 'random_state': 42};oversampling;-;0.9350371033363956;0.6522704872837549;0.28071541512717985;0.6232495692711291;0.652208682646299
